,Name,Park,Location,Status,Inversions,Speed /mph,Height /ft,Drop /ft,Length /ft,G-Force,Layout,Manufacturer
25,Jet Star,Särkänniemi Amusement Park,"Tampere, Pirkanmaa, Finland",Defunct,,31.1,44.3,,1765.1,,,Schwarzkopf
26,Fantasy Mouse,Fantasy Island,"Ingoldmells, Lincolnshire, England, United Kingdom",Defunct,,29.1,42.7,,1377.9,2.5,Wild Mouse,Reverchon
27,Vuelta al Mundo,Esquilandia,"Guatemala City, Guatemala, Guatemala",Defunct,,,,,,,Zyklon / Galaxi,
28,Medusa Steel Coaster,Six Flags Mexico,"Mexico City, Mexico",Operating,3.0,58.0,98.0,,3000.0,,,Rocky Mountain Construction
29,Big Apple,Allou Fun Park,"Athens, Attica, Greece",Operating,,,,,,,Big Apple / Wacky Worm,
30,Spinball Whizzer,Alton Towers,"Alton, Staffordshire, England, United Kingdom",Operating,,,55.8,,1476.4,,,Maurer Rides GmbH
31,Looping,Hili Fun City,"Al Ain, Abu Dhabi, United Arab Emirates",SBNO,1.0,,,,,,,Pinfari
32,Draken,Gyeongju World,"Gyeongju, Gyeongsangbuk-do, South Korea",Operating,2.0,,206.7,,,,,Bolliger & Mabillard
33,Ride of Steel,Six Flags Darien Lake,"Darien Center, New York, United States",Operating,,73.0,208.0,205.0,5400.0,,,Intamin Amusement Rides
34,Creature Coaster,Funtastic Park,"Dededo, Guam, United States",Operating,,,,,,,,Zamperla
35,Superman Escape,Warner Bros. Movie World,"Gold Coast, Queensland, Australia",Operating,,62.1,131.3,,,4.2,,Intamin Amusement Rides
36,Hurricane,Adventureland,"Farmingdale, New York, United States",Defunct,,35.0,59.0,,1427.0,,,S.D.C.
37,American Mountain,Luna Park,"Kentron, Yerevan, Armenia",Defunct,,,,,,,,Yamasakutalab
38,Switchback,ZDT'S Amusement Park,"Seguin, Texas, United States",Operating,,41.0,64.0,56.0,1196.0,,,Gravitykraft Corporation
39,Bullet Coaster,Happy Valley,"Nanshan, Shenzhen, Guangdong, China",Operating,,83.0,196.8,221.2,,4.5,,S&S Sansei Technologies
40,Wicked Cyclone,Six Flags New England,"Agawam, Massachusetts, United States",Operating,3.0,55.0,109.0,,3320.0,,,Rocky Mountain Construction
41,Speed Monster,TusenFryd,"Oppegård, Akershus, Norway",Operating,3.0,55.9,101.8,,2263.8,4.0,,Intamin Amusement Rides
42,Mad Mouse,Tosselilla,"Tomelilla, Skåne, Sweden",Operating,,,49.3,,,2.5,Wild Mouse,Fabbri
43,Jaudenhangflitzer,Steffes Jaudenhangflitzer,"Lenggries, Bavaria, Germany",Operating,,,,,5150.9,,,Brandauer
44,Thriller,Land Of Make Believe,"Hope, New Jersey, United States",Operating,,,,,,,Oval,E&F Miler Industries
45,Kiddie Coaster,Bushkill Park,"Easton, Pennsylvania, United States",Defunct,,,,,,,Oval,
46,Twisted Typhoon,Wild Adventures,"Valdosta, Georgia, United States",Operating,5.0,49.7,109.3,,2260.5,,,Vekoma
47,Moncayo,Parque de Atracciones de Zaragoza,"Zaragoza, Zaragoza, Aragon, Spain",Operating,,,,,,,Zyklon / Galaxi,Robles Bouso Atracciones
48,Atomic Coaster,Sekitan No Rekishi Mura,"Yubari, Hokkaido, Japan",Defunct,1.0,,,,,,,"Senyo Kogyo Co., Ltd."
49,Tiger Leaping Gorge,Colourful Yunnan Paradise,"Jinning, Kunming, Yunnan, China",Operating,,,101.4,,1279.5,,,Mack Rides GmbH & Co KG
50,Winja's,Phantasialand,"Brühl, North Rhine-Westphalia, Germany",Operating,,41.0,57.1,52.5,1525.6,,,Maurer Rides GmbH
51,Family Coaster,Expoland,"Suita, Osaka, Japan",Defunct,,,13.0,,262.5,,Single Helix (center),Zamperla
52,Dragão,Parque Shanghai,"Rio De Janeiro, Rio De Janeiro, Brazil",Operating,,,,,,,Twin Helix,Zamperla
53,Bobster,Shirakaba Resort Family Land,"Koshoku, Nagano, Japan",Operating,,,,,,,,Togo
54,Sky Train,City Park,"Mandalay, Mandalay, Myanmar",Operating,,,,,,,,
55,Mountain Coaster,Camelback Mountain Adventures,"Tannersville, Pennsylvania, United States",Operating,,,,,4500.0,,,Aquatic Development Group
56,Zombie Ride,Bosque Mágico,"Guadalupe, Nuevo León, Mexico",Operating,1.0,62.0,150.0,,863.0,,,Premier Rides
57,Big One,Blackpool Pleasure Beach,"Blackpool, Lancashire, England, United Kingdom",Operating,,74.0,213.0,205.0,5497.0,3.5,,Arrow Dynamics
58,TL*3 Coaster,Adventurers Family Entertainment Center,"Brooklyn, New York, United States",Operating,,,,,,,Big Apple / Wacky Worm,D.P.V. Rides
59,Dragon Fyre,Canada's Wonderland,"Vaughan, Ontario, Canada",Operating,4.0,50.0,78.0,76.0,2160.0,,,Arrow Dynamics
60,Children Coaster,Floraland,"Wenjiang, Chengdu, Sichuan, China",Operating,,,,,,,,"Beijing Jiuhua Amusement Rides Manufacturing Co., Ltd."
61,New Wilder Wild Mouse,Lagoon,"Farmington, Utah, United States",Defunct,,,,,,,Wild Mouse,
62,Hurricane,E-World,"Daegu, South Korea",Operating,3.0,,,,,,,
63,Ejderha Uçuşu,Wonderland Eurasia,"Ankara, Ankara, Turkey",Operating,,,,,,,,Zierer
64,Achtbaan,Kinderstad Heerlen,"Heerlen, Limburg, Netherlands",Defunct,,,16.4,,721.8,,Big Apple / Wacky Worm,D.P.V. Rides
65,Il Bruco Magico,Mirabilandia,"Savio, Emilia-Romagna, Italy",Defunct,,,,,393.7,,Big Apple / Wacky Worm,
66,Twister,Knoebels Amusement Park & Resort,"Elysburg, Pennsylvania, United States",Operating,,51.5,101.6,89.6,3900.0,,,
67,Vesuvio Volcano,Fantawild Adventure,"Jinghu, Wuhu, Anhui, China",Operating,,29.8,52.5,,2578.8,,,Golden Horse
68,Rally,Kid's Inn,"Frankenthal, Rhineland-Palatinate, Germany",Operating,,,,,,,,SBF Visa Group
69,Twist n' Shout,World of Fun,"Cainta, Rizal, Philippines",Operating,,,,,,,,Cavazza Diego
70,Himalayabahn,Schwaben Park,"Kaisersbach, Baden Wuerttemberg, Germany",Defunct,,,44.3,,1509.2,,,Schwarzkopf
71,Magnum XL-200,Cedar Point,"Sandusky, Ohio, United States",Operating,,72.0,205.0,194.7,5106.0,,,Arrow Dynamics
72,Trenó,Alpen Park,"Canela, Rio Grande do Sul, Brazil",Operating,,,,,2066.9,,,Wiegand
73,Cyclone,20th Century Fox World,"Genting Highlands, Pahang, Malaysia",Defunct,,28.8,,,,,Zyklon / Galaxi,Pinfari
74,Flying Squirrel,Crab Island Resort,"Chaoyang, Beijing, China",Operating,,24.9,26.2,,,,Jungle Mouse,Guohui Machinery
75,Tornado,Speelstad Oranje,"Oranje, Drenthe, Netherlands",Defunct,,,,,,,,Zamperla
76,Wicked,Lagoon,"Farmington, Utah, United States",Operating,1.0,55.0,110.0,,2050.5,4.8,,Zierer
77,Öksökö Öfkesi,Wonderland Eurasia,"Ankara, Ankara, Turkey",Under Construction,2.0,,151.6,,590.6,,,Beijing Shibaolai Amusement Equipment
78,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Florida, United States",Operating,1.0,60.0,102.0,130.0,4429.0,4.0,,Intamin Amusement Rides
79,Manta,SeaWorld San Diego,"San Diego, California, United States",Operating,,43.0,30.0,54.0,2800.0,4.0,,Mack Rides GmbH & Co KG
